Participant_ID,Gender,Age,Congruent_RT,Incongruent_RT,Errors
1,Male,33.0,620.37,726.98,0.0
2,Female,30.0,605.38,,4.0
3,Male,35.0,645.96,650.29,2.0
4,,32.0,571.09,792.97,5.0
5,Male,30.0,,677.12,2.0
6,Female,26.0,583.41,652.4,0.0
7,Male,32.0,644.82,699.32,3.0
8,Male,30.0,613.56,794.24,
9,Male,18.0,604.47,709.13,3.0
10,,24.0,584.58,668.03,1.0
11,Male,26.0,605.73,651.73,8.0
12,Male,18.0,642.24,705.27,1.0
13,Male,29.0,661.75,620.23,2.0
14,Male,25.0,641.06,651.49,2.0
15,Female,,674.56,779.44,0.0
16,Male,34.0,721.57,769.55,3.0
17,Female,25.0,607.02,704.22,4.0
18,Female,20.0,611.77,689.05,0.0
19,Female,20.0,562.4,712.63,0.0
20,Male,18.0,667.63,815.66,
21,Female,22.0,671.98,728.22,0.0
22,Male,27.0,585.31,750.94,0.0
23,Female,24.0,644.71,700.89,1.0
24,Female,26.0,668.68,712.74,1.0
25,Female,24.0,629.05,739.12,2.0
26,Female,26.0,653.9,715.67,2.0
27,Female,,626.99,624.62,2.0
28,Female,29.0,571.33,,2.0
29,Female,19.0,661.97,2500.0,2.0
30,Female,18.0,673.0,805.01,1.0
31,Male,33.0,649.38,740.91,1.0
32,Male,22.0,581.82,713.19,0.0
33,Female,20.0,589.95,729.77,0.0
34,Female,29.0,574.78,705.12,0.0
35,Female,25.0,650.8,688.11,
36,Male,20.0,120.0,719.34,1.0
37,Female,18.0,636.98,749.82,2.0
38,Male,20.0,657.62,689.1,1.0
39,Male,22.0,585.29,682.0,0.0
40,Male,32.0,625.83,694.0,0.0
41,Male,31.0,565.21,,0.0
42,Male,20.0,589.13,775.36,1.0
43,Female,18.0,655.15,726.29,0.0
44,Female,22.0,610.42,736.16,0.0
45,Female,31.0,668.38,681.66,1.0
46,Female,24.0,641.52,749.45,1.0
47,Female,26.0,729.38,2000.0,1.0
48,Male,32.0,623.75,678.04,2.0
49,Female,,563.74,629.55,
50,Female,27.0,618.62,655.07,2.0
51,Male,30.0,581.48,679.89,0.0
52,FEMALE,24.0,659.09,762.29,0.0
53,Male,34.0,621.68,779.88,1.0
54,Female,21.0,614.51,690.22,2.0
55,Male,22.0,615.03,691.64,1.0
56,Female,24.0,649.61,721.77,1.0
57,Female,30.0,601.9,710.55,3.0
58,Male,32.0,651.08,751.89,2.0
59,,28.0,661.82,686.46,1.0
60,Male,21.0,606.31,752.71,0.0
61,Male,,582.96,,1.0
62,Male,24.0,599.48,748.43,1.0
63,Male,19.0,648.4,697.8,4.0
64,Male,27.0,623.7,1500.0,0.0
65,Male,30.0,645.2,796.05,3.0
66,Female,23.0,690.52,757.94,0.0
67,Female,29.0,,629.36,1.0
68,Male,29.0,587.64,689.9,2.0
69,Female,28.0,662.3,,2.0
70,Female,24.0,622.05,656.15,0.0
71,Female,18.0,654.9,744.68,0.0
72,Female,18.0,,740.02,1.0
73,Male,30.0,581.64,678.54,0.0
74,Female,26.0,675.28,709.6,1.0
75,Male,20.0,656.2,615.95,1.0
76,unknown,24.0,100.0,789.67,1.0
77,Female,23.0,632.18,696.09,1.0
78,Female,25.0,630.29,746.17,
79,Male,26.0,620.96,737.62,0.0
80,Female,22.0,654.88,771.1,3.0
81,Male,18.0,677.49,690.5,1.0
82,Female,27.0,,719.17,0.0
83,Male,29.0,673.24,735.16,1.0
84,Female,32.0,659.53,749.26,1.0
85,Male,26.0,629.29,761.95,0.0
86,Male,34.0,627.05,688.52,1.0
87,Female,34.0,573.9,680.11,1.0
88,Male,29.0,559.97,771.21,2.0
89,Female,24.0,626.6,618.33,1.0
90,Female,19.0,585.76,780.65,0.0
91,Female,20.0,618.41,696.4,3.0
92,Female,34.0,598.61,709.79,3.0
93,Female,22.0,548.46,679.29,1.0
94,Female,34.0,634.29,,3.0
95,Female,34.0,603.42,767.2,2.0
96,Female,34.0,623.21,744.69,0.0
97,Female,19.0,584.28,732.17,3.0
98,,19.0,606.61,714.0,1.0
99,male,22.0,682.42,644.95,0.0
100,Male,18.0,,672.01,0.0
101,Male,18.0,641.98,694.56,3.0
102,,19.0,569.17,730.6,3.0
103,Female,29.0,715.56,713.13,1.0
104,Female,23.0,693.74,754.26,2.0
105,Female,,674.54,731.31,1.0
106,Female,28.0,653.15,712.45,1.0
107,Female,34.0,620.61,812.41,2.0
108,Female,23.0,637.68,728.28,2.0
109,Female,22.0,661.92,690.56,
110,Male,19.0,594.86,793.7,4.0
111,Female,23.0,602.22,764.02,0.0
112,Male,,,791.72,1.0
113,Female,33.0,589.13,705.01,1.0
114,Female,33.0,686.45,753.93,3.0
115,Male,18.0,606.63,644.62,1.0
116,Female,26.0,607.29,745.28,1.0
117,Male,23.0,632.71,702.9,2.0
118,Female,33.0,555.51,649.02,1.0
119,,20.0,657.82,756.47,3.0
120,Male,21.0,670.66,628.54,1.0
